tenure_years,department,role_level,overtime_hours_monthly,absence_rate,leave_utilization_rate,months_since_promotion,salary_percentile_in_dept,job_satisfaction,attrited
1.93,HR,1,14.2,0.1296,0.7095,46.7,21.8,4,1
6.01,Engineering,1,18.4,0.0258,0.5682,15.3,65.1,5,0
5.4,Marketing,2,3.2,0.0197,0.5782,23.4,9.7,5,0
0.95,Marketing,2,25.6,0.0516,0.6638,60.0,71.1,5,1
1.26,Finance,3,11.6,0.0771,0.6912,2.2,82.2,3,0
2.33,Engineering,1,5.5,0.0154,0.9589,12.2,50.9,4,0
0.33,Marketing,1,7.7,0.0235,0.5243,27.9,82.6,5,0
3.57,Operations,3,12.1,0.0501,0.7409,10.8,67.5,5,0
1.04,Sales,1,12.5,0.0205,0.8286,8.0,57.9,4,0
7.45,Engineering,3,3.7,0.0264,0.864,6.4,42.7,4,0
3.65,Marketing,1,8.2,0.0176,0.6968,3.8,65.2,5,0
1.31,Sales,2,10.0,0.0804,0.6575,14.6,97.4,4,1
5.8,Marketing,2,18.6,0.0348,0.7664,4.2,11.8,2,1
8.0,Marketing,1,20.0,0.0518,0.6904,7.3,16.9,3,1
2.75,Sales,1,2.9,0.0253,0.2519,10.2,66.3,5,0
1.12,Engineering,1,8.9,0.0268,0.6015,9.2,98.5,1,0
11.62,Finance,1,5.3,0.0914,0.8554,0.6,50.0,3,0
7.08,HR,1,11.9,0.0491,0.796,18.4,39.6,5,1
8.54,Operations,3,34.5,0.0092,0.834,0.4,96.0,4,0
3.91,HR,1,17.1,0.0719,0.8187,40.6,27.9,3,1
3.66,Sales,2,12.6,0.0063,0.6209,31.4,32.9,4,1
4.17,Operations,1,15.2,0.0583,0.4486,12.7,42.2,4,1
0.63,Marketing,4,22.9,0.0234,0.4149,0.4,51.9,4,1
3.28,Finance,3,16.1,0.0207,0.753,8.4,5.4,2,1
0.67,Operations,5,3.3,0.0293,0.4589,19.5,40.3,5,0
1.04,Marketing,4,26.9,0.0328,0.7051,47.0,58.3,1,1
1.38,Operations,1,9.5,0.0279,0.4677,5.4,12.4,4,0
5.06,Marketing,3,11.5,0.045,0.2981,33.3,46.1,4,1
2.52,HR,1,19.9,0.0269,0.4504,5.1,30.7,2,0
2.51,Engineering,4,33.4,0.0641,0.2065,33.3,11.2,1,1
3.77,Finance,2,6.3,0.0563,0.6258,10.4,91.6,3,0
2.5,Marketing,2,19.2,0.0156,0.409,6.3,35.8,1,1
4.41,Operations,4,6.0,0.1096,0.4366,3.4,49.3,5,0
0.27,Marketing,3,10.8,0.1028,0.9123,14.0,52.5,5,1
1.78,Finance,5,2.4,0.0607,0.5244,6.6,16.6,5,0
2.61,Finance,1,6.0,0.0105,0.4687,60.0,56.6,5,0
0.41,Engineering,1,10.5,0.0093,0.4544,35.8,24.6,2,0
2.15,Engineering,1,13.1,0.1323,0.8621,25.0,60.5,4,1
2.19,Engineering,2,12.6,0.0128,0.7322,17.2,11.7,3,0
4.3,Operations,2,17.6,0.0405,0.6236,60.0,79.2,1,1
1.38,Marketing,1,6.7,0.0277,0.6597,0.8,86.3,4,0
3.84,Sales,3,8.3,0.1065,0.7682,7.9,98.0,1,1
4.79,HR,1,8.6,0.0747,0.7356,1.1,89.5,5,0
4.13,HR,3,7.1,0.0448,0.5743,56.7,66.4,5,0
1.12,Sales,4,4.3,0.0739,0.2304,11.8,14.5,5,0
4.57,HR,2,9.6,0.0952,0.7495,32.4,8.7,1,1
4.2,HR,2,15.7,0.0162,0.838,30.4,7.9,1,1
1.37,Marketing,1,11.4,0.0482,0.6145,8.6,84.0,3,1
0.93,Marketing,1,6.4,0.0147,0.3536,60.0,76.5,5,0
1.31,Engineering,3,9.7,0.0132,0.3953,7.6,22.3,4,0
0.61,HR,2,6.1,0.0792,0.4215,37.2,23.7,4,1
2.87,Operations,1,13.3,0.0425,0.4098,2.9,9.7,2,1
2.6,Operations,5,16.0,0.0729,0.6426,9.9,97.2,3,0
2.08,Marketing,3,16.3,0.0087,0.7714,3.3,25.1,3,0
1.23,Marketing,3,7.7,0.02,0.4466,35.1,84.8,5,1
0.38,Engineering,2,6.2,0.0657,0.4089,38.0,76.5,4,0
8.01,Operations,5,17.6,0.0381,0.6573,22.5,80.2,2,1
2.99,Marketing,1,7.2,0.0517,0.6039,21.8,62.9,3,0
5.31,Operations,1,9.6,0.0105,0.539,13.5,21.3,4,0
6.26,Operations,4,11.3,0.0404,0.885,1.5,22.0,4,0
5.35,Sales,4,9.0,0.0108,0.316,5.3,93.4,3,0
1.95,Engineering,2,14.7,0.0814,0.5109,20.7,55.3,5,0
3.5,Finance,1,2.7,0.0492,0.6168,0.3,67.1,3,0
0.16,HR,1,12.5,0.0275,0.5101,49.2,53.0,1,1
5.97,Engineering,3,4.8,0.1012,0.5845,5.6,34.2,5,1
8.33,Sales,3,6.6,0.0673,0.7073,0.7,70.5,5,0
9.58,Operations,1,10.3,0.0262,0.588,11.8,86.0,3,0
0.97,HR,1,2.1,0.0439,0.0585,1.3,23.4,4,1
0.87,Sales,3,8.0,0.0228,0.8069,16.5,16.3,3,1
2.4,Finance,3,7.0,0.1907,0.3768,60.0,6.6,3,1
3.58,Finance,2,8.3,0.0267,0.6005,3.0,90.3,5,0
3.22,Sales,2,6.7,0.0179,0.3342,5.0,68.7,5,0
6.99,Operations,5,9.6,0.0431,0.6378,13.2,71.1,2,0
2.65,Finance,1,5.9,0.0578,0.7858,13.9,5.4,4,0
2.54,Engineering,2,8.8,0.0568,0.4207,15.9,39.9,2,0
2.72,Sales,2,10.3,0.101,0.4062,3.2,5.7,4,1
1.98,Operations,2,18.0,0.0321,0.783,17.6,68.9,5,0
1.92,Engineering,4,20.7,0.0072,0.5597,19.6,34.2,2,0
1.35,Engineering,2,2.9,0.0771,0.562,10.9,98.1,3,0
0.53,Finance,2,18.9,0.0826,0.5834,42.0,72.1,5,1
1.07,HR,1,4.3,0.06,0.5395,11.2,14.3,3,0
0.53,Sales,3,8.8,0.1231,0.7647,36.2,18.2,1,1
2.34,HR,1,2.2,0.0343,0.6141,14.7,12.2,3,0
12.8,Sales,1,1.3,0.0732,0.794,7.9,25.0,3,0
3.09,HR,2,33.2,0.0138,0.3162,60.0,97.1,4,1
2.75,Sales,2,9.0,0.0583,0.4583,60.0,98.5,3,0
2.87,Finance,5,7.6,0.0185,0.8664,14.5,28.7,2,0
0.87,Marketing,3,11.1,0.009,0.9384,29.8,24.4,4,1
2.33,Operations,3,7.7,0.0363,0.5389,47.4,25.7,3,1
0.8,Engineering,1,15.9,0.0583,0.117,3.2,50.6,1,0
3.83,Sales,2,10.7,0.0764,0.3536,0.6,48.2,5,1
6.48,Sales,5,14.2,0.04,0.4385,24.4,44.8,5,0
0.87,Finance,2,4.9,0.0599,0.2345,0.3,8.0,5,0
9.56,Finance,3,2.5,0.0607,0.939,15.1,25.8,4,0
7.77,Operations,2,17.1,0.0301,0.6411,7.1,45.4,3,1
0.01,Operations,1,11.5,0.0529,0.4535,18.8,21.6,5,0
1.57,Marketing,2,3.3,0.1222,0.6618,28.9,62.5,2,1
0.75,Sales,1,3.4,0.0475,0.5364,4.8,15.4,4,0
0.6,Engineering,1,9.8,0.0495,0.5198,2.0,35.9,5,0
6.17,Operations,1,13.4,0.0241,0.8026,10.0,75.9,5,0
4.4,Operations,1,4.3,0.0108,0.7136,29.2,59.2,4,0
2.32,Sales,2,23.6,0.0957,0.793,46.0,91.2,5,1
5.71,Engineering,4,14.6,0.1118,0.3922,13.2,28.8,1,1
5.07,Marketing,2,17.9,0.0774,0.3215,23.2,1.0,1,1
0.33,Finance,3,9.6,0.012,0.6267,34.0,50.6,4,0
0.29,Operations,2,9.0,0.0156,0.5539,40.8,22.1,5,1
4.97,Finance,1,3.1,0.1275,0.3805,5.4,12.3,2,0
0.36,Marketing,1,4.9,0.0213,0.6554,23.3,1.8,3,1
6.61,Marketing,4,8.2,0.0634,0.6422,19.2,58.7,5,1
3.62,Engineering,2,11.7,0.1075,0.6828,1.7,38.6,5,0
4.47,Engineering,4,10.3,0.0049,0.7072,7.2,32.3,3,0
1.87,Marketing,1,1.5,0.0316,0.6912,12.1,38.1,5,0
1.09,Sales,3,4.1,0.0285,0.8252,60.0,76.3,3,0
1.43,Sales,3,10.7,0.0302,0.5436,8.9,23.2,3,1
0.44,Marketing,5,11.9,0.0133,0.2881,12.6,51.0,4,0
1.49,Sales,1,6.6,0.0441,0.5995,11.7,99.4,3,0
4.11,Engineering,5,13.8,0.062,0.5404,18.9,5.0,4,1
7.23,Engineering,2,13.7,0.066,0.3664,9.0,65.8,3,1
0.22,HR,3,31.7,0.0553,0.6664,9.7,68.3,4,1
6.91,Finance,2,9.1,0.0392,0.7274,22.7,42.3,4,1
10.68,Marketing,2,6.4,0.0632,0.7843,29.3,80.7,5,0
9.2,Operations,2,4.3,0.085,0.952,9.5,67.1,1,0
2.77,Finance,3,2.7,0.087,0.9247,5.0,71.2,4,0
6.89,Marketing,1,13.3,0.1083,0.7773,0.7,12.9,5,1
5.02,Sales,2,12.3,0.1172,0.3831,21.9,54.7,4,1
2.66,HR,2,3.1,0.0927,0.811,26.9,16.7,2,1
2.92,Sales,3,13.3,0.0823,0.7642,16.3,8.0,4,1
0.62,Engineering,2,10.0,0.0267,0.7928,35.3,42.5,5,1
6.06,Operations,3,7.2,0.0207,0.4136,10.8,9.9,2,1
0.28,Sales,2,1.4,0.0333,0.382,10.2,0.0,5,0
4.03,HR,3,12.2,0.0549,0.718,4.7,97.1,3,0
13.55,HR,3,25.8,0.0589,0.2681,6.5,87.7,5,0
4.99,Engineering,3,4.8,0.0203,0.5469,0.6,18.6,3,0
2.83,Operations,3,10.0,0.0245,0.837,4.9,15.0,2,1
1.67,Sales,2,12.9,0.022,0.4958,17.0,34.3,4,0
6.61,Engineering,1,0.8,0.0926,0.294,8.5,11.3,4,0
0.33,HR,3,4.1,0.0367,0.6384,0.1,33.9,4,0
2.37,Engineering,1,2.3,0.0549,0.2776,7.8,70.5,3,0
5.22,Operations,1,25.7,0.0318,0.7984,1.1,23.9,1,1
1.43,Sales,3,0.7,0.0327,0.5136,10.1,77.9,2,0
1.73,Sales,2,7.1,0.0287,0.5834,18.2,92.3,3,0
0.32,Sales,2,10.8,0.0561,0.4062,60.0,3.8,1,1
0.57,Engineering,5,4.7,0.0617,0.719,21.6,54.1,4,0
0.1,Engineering,1,0.9,0.0221,0.4475,20.0,7.6,4,0
1.5,Finance,1,7.4,0.0797,0.3654,2.0,55.1,2,1
2.57,Sales,1,4.7,0.0076,0.8357,29.9,3.7,4,0
1.39,Engineering,1,11.7,0.0427,0.5431,23.0,49.7,4,0
1.22,Sales,3,14.8,0.0327,0.78,3.8,42.7,4,0
4.04,Sales,3,3.1,0.0757,0.4392,17.5,95.8,4,0
9.68,HR,2,5.1,0.0563,0.6758,7.1,18.2,4,1
2.64,Operations,1,5.3,0.0262,0.5737,6.2,10.8,1,1
2.76,Sales,2,14.6,0.0341,0.7265,6.7,7.3,4,1
1.17,Marketing,1,9.2,0.038,0.6661,8.9,14.0,3,1
1.64,Marketing,3,3.2,0.0096,0.8022,10.5,58.6,4,0
1.44,Engineering,2,17.9,0.0114,0.7287,7.6,97.3,4,0
10.73,Finance,1,4.7,0.0102,0.6618,6.2,59.6,4,0
4.35,HR,3,5.8,0.0401,0.6079,60.0,65.2,4,0
5.37,Finance,3,3.9,0.0419,0.6633,41.7,61.5,3,1
0.75,Sales,1,9.7,0.0329,0.5089,12.8,17.5,4,1
6.05,HR,2,6.6,0.0799,0.6626,51.3,94.5,4,0
2.04,Engineering,2,21.5,0.0707,0.6039,19.2,99.2,3,1
0.52,Operations,1,9.3,0.0797,0.342,29.3,15.6,3,1
3.59,Finance,1,4.1,0.0217,0.6284,12.4,24.9,5,0
0.56,Engineering,3,8.6,0.1314,0.4973,1.5,57.0,5,0
2.11,Finance,4,23.6,0.0717,0.519,9.2,91.9,1,1
0.46,Operations,2,2.9,0.0189,0.7618,51.3,58.1,3,0
2.76,Marketing,2,12.2,0.0174,0.6969,2.0,37.7,5,1
0.79,Sales,2,1.4,0.0871,0.7185,13.4,38.0,4,1
0.84,Operations,2,20.5,0.0124,0.4906,7.1,40.0,2,0
0.57,Sales,1,5.9,0.0649,0.4858,21.1,93.1,3,1
0.15,Sales,2,4.0,0.0491,0.1815,13.0,77.1,2,0
0.47,Engineering,4,22.6,0.0646,0.4024,60.0,80.1,4,1
5.22,Operations,3,8.1,0.0656,0.3397,8.2,4.3,1,1
1.65,Marketing,4,8.4,0.0063,0.4477,1.6,31.0,3,0
6.26,Finance,1,6.0,0.0722,0.8265,1.1,78.4,1,0
9.35,Marketing,2,6.2,0.0463,0.4373,0.1,11.9,5,0
10.13,Sales,2,1.2,0.0974,0.451,0.2,26.2,2,0
0.26,Engineering,1,12.0,0.0115,0.5543,8.0,82.3,4,0
2.74,Operations,1,2.4,0.0314,0.3034,23.0,55.9,2,1
0.37,Operations,3,16.3,0.0248,0.9438,0.1,54.4,2,0
7.44,Engineering,3,3.4,0.1164,0.185,7.9,29.5,1,1
5.31,Engineering,2,9.0,0.0872,0.6857,17.1,9.3,1,1
1.57,Finance,1,5.2,0.0214,0.955,7.0,86.5,4,0
1.72,Engineering,2,6.0,0.0459,0.7403,11.7,18.2,4,1
2.84,Marketing,1,7.0,0.0093,0.4769,28.3,52.7,3,0
4.1,Operations,1,10.7,0.0195,0.4195,55.6,59.2,5,1
6.51,Sales,2,22.2,0.0877,0.289,5.4,47.7,3,1
0.41,Sales,1,5.9,0.0076,0.4655,60.0,81.4,5,1
2.88,Operations,5,1.0,0.049,0.3905,30.6,0.5,4,1
1.68,HR,2,19.0,0.0396,0.7782,13.6,36.3,2,0
1.12,Sales,1,13.4,0.1301,0.4678,4.6,70.0,2,1
4.31,Engineering,1,3.3,0.051,0.5569,60.0,4.8,2,1
1.8,Operations,3,2.7,0.1594,0.5384,18.9,92.1,4,0
4.95,Operations,1,11.1,0.0223,0.7295,14.5,37.9,4,1
6.13,Engineering,1,9.7,0.0273,0.6236,9.5,59.5,2,1
1.66,Marketing,2,25.9,0.0011,0.5725,3.6,0.9,5,0
0.06,Engineering,1,12.1,0.046,0.51,29.9,53.9,5,1
12.34,Engineering,2,4.9,0.0337,0.8832,50.3,20.7,2,1
4.28,HR,2,4.0,0.0098,0.3808,2.7,33.6,3,0
7.95,HR,1,8.8,0.039,0.1206,27.1,93.8,5,0
0.33,Operations,3,1.3,0.0353,0.8852,14.8,71.8,5,0
0.49,Marketing,2,1.9,0.0434,0.9461,26.2,64.6,3,0
0.22,Engineering,2,2.9,0.0337,0.4828,9.9,98.9,5,0
0.86,Finance,1,4.8,0.0286,0.201,14.6,17.9,5,0
0.03,Operations,2,8.0,0.032,0.6914,29.5,6.1,5,0
7.34,Finance,1,12.7,0.0257,0.6654,25.2,76.9,4,0
1.32,Sales,2,19.8,0.071,0.5049,3.7,2.3,3,1
5.59,Engineering,1,17.3,0.0343,0.332,13.9,77.9,4,0
6.25,HR,5,15.5,0.0514,0.4684,11.2,50.6,4,0
6.2,HR,1,5.8,0.0357,0.7963,19.6,22.7,3,0
2.32,HR,4,4.1,0.0339,0.8428,7.8,64.0,4,0
12.32,Engineering,4,10.9,0.0191,0.9587,2.5,49.4,4,0
7.76,Engineering,2,11.4,0.0644,0.5469,1.4,18.9,4,1
11.18,Finance,1,3.2,0.0202,0.6054,4.4,80.6,5,0
3.1,Operations,2,6.9,0.0129,0.6352,12.9,28.9,5,0
7.15,Finance,5,3.8,0.229,0.4708,7.3,24.5,3,0
2.15,HR,2,1.8,0.0412,0.4015,7.6,69.6,4,0
4.63,Operations,2,10.3,0.1407,0.3332,12.1,42.0,4,0
4.21,Marketing,1,15.3,0.0235,0.7003,0.6,34.4,3,1
0.26,Marketing,3,24.3,0.0109,0.442,5.9,56.0,4,0
0.79,Finance,1,7.4,0.0032,0.6992,41.3,66.0,4,0
5.42,Marketing,1,1.5,0.1014,0.7537,20.1,12.4,5,0
0.09,Finance,1,27.2,0.0138,0.686,14.5,89.5,3,0
5.13,Finance,2,28.8,0.0201,0.5633,0.5,37.2,5,1
3.09,Finance,4,46.5,0.0229,0.7706,0.0,19.5,2,1
16.46,Marketing,3,34.7,0.0781,0.7555,42.2,12.9,3,1
0.12,Operations,1,9.9,0.0542,0.5382,30.2,89.9,4,1
2.53,Sales,2,8.3,0.0309,0.6843,34.6,6.4,4,1
11.12,Marketing,3,14.2,0.0172,0.7215,41.2,70.9,1,0
0.03,Engineering,2,2.2,0.006,0.6665,2.8,2.0,3,1
3.73,Finance,1,4.6,0.0891,0.8333,7.5,87.9,3,1
1.51,Operations,2,7.4,0.0278,0.5103,60.0,91.0,5,0
1.02,Finance,2,17.7,0.0019,0.4756,32.2,26.7,5,0
4.75,Sales,5,18.3,0.0626,0.7381,49.2,6.2,3,1
2.19,Finance,3,7.8,0.0431,0.3756,50.3,3.9,4,1
2.98,HR,1,2.5,0.1395,0.7806,22.7,95.8,4,0
0.0,HR,3,15.1,0.0629,0.6127,31.1,64.1,3,1
2.74,Sales,1,2.3,0.0169,0.2016,60.0,95.3,4,0
0.28,Finance,4,5.3,0.0589,0.5159,29.7,48.0,5,0
2.3,Sales,2,9.8,0.025,0.7571,34.3,80.2,3,1
0.31,HR,1,2.0,0.0649,0.1451,54.4,94.9,2,0
3.85,Operations,2,4.4,0.0569,0.5493,1.7,25.1,5,0
0.66,Marketing,1,16.7,0.019,0.3662,17.2,9.0,4,1
0.1,HR,1,14.2,0.0733,0.7557,32.2,28.1,2,1
5.97,Operations,2,2.8,0.0484,0.8742,23.0,54.8,1,1
0.86,Engineering,3,10.7,0.0146,0.687,52.0,69.5,4,0
0.03,Operations,3,1.5,0.0179,0.6443,31.6,97.6,4,0
4.19,HR,2,13.2,0.0067,0.575,51.0,78.5,2,1
2.61,Marketing,1,4.7,0.0676,0.8577,27.6,8.7,4,0
3.31,Operations,2,7.1,0.0249,0.2804,14.8,92.1,2,0
7.19,Finance,2,9.0,0.0193,0.7959,12.1,84.5,3,0
0.71,Finance,1,3.0,0.025,0.6859,12.4,21.5,3,1
0.99,Marketing,4,4.4,0.0499,0.8186,29.0,89.2,5,0
4.81,Sales,5,24.9,0.0209,0.485,2.5,22.7,3,1
1.59,Sales,1,6.7,0.0538,0.4023,5.3,52.4,3,0
1.03,HR,3,9.4,0.1109,0.8621,60.0,76.9,4,1
5.86,HR,2,9.5,0.0705,0.3684,0.0,9.6,1,1
1.51,Marketing,1,20.2,0.0186,0.9146,13.6,70.7,4,0
1.46,Sales,2,14.8,0.026,0.6236,9.6,51.8,1,1
10.24,Finance,1,3.1,0.0367,0.5099,16.6,51.0,1,0
0.06,Engineering,1,21.9,0.0832,0.5687,33.5,61.9,3,1
10.51,Engineering,5,27.5,0.0855,0.4447,14.1,7.6,5,0
1.41,Operations,2,3.1,0.1864,0.7775,31.8,12.7,2,1
11.45,Operations,1,6.3,0.0295,0.8109,39.5,17.7,3,1
0.48,Operations,2,7.6,0.019,0.6423,38.9,15.2,4,0
3.0,Sales,5,6.5,0.036,0.7563,1.1,44.9,5,0
4.7,Finance,2,13.2,0.0119,0.3899,50.0,60.0,3,1
4.87,Marketing,4,7.1,0.0635,0.3737,19.9,13.4,3,1
0.34,Sales,4,5.4,0.0711,0.9405,30.2,74.5,3,0
0.32,Marketing,1,13.6,0.0282,0.5053,13.0,84.9,3,1
3.38,Marketing,3,1.0,0.0339,0.7866,60.0,9.7,2,1
0.34,HR,3,9.9,0.0372,0.5664,36.0,16.8,2,1
5.64,HR,3,12.1,0.0352,0.4694,2.0,36.9,4,1
6.57,Sales,2,21.0,0.061,0.692,24.3,65.7,3,1
0.54,Marketing,1,8.8,0.0195,0.3457,20.2,8.5,4,0
5.13,Operations,1,1.6,0.0592,0.8865,3.2,34.7,4,1
0.17,Operations,2,9.3,0.1007,0.8693,8.6,99.1,1,0
10.99,Marketing,3,1.4,0.0293,0.7324,3.1,52.0,4,0
2.58,HR,3,11.2,0.0494,0.573,13.6,17.3,4,1
4.61,Marketing,2,18.6,0.0257,0.4027,3.3,61.2,2,0
4.56,Sales,1,7.9,0.1074,0.4303,16.6,35.6,5,1
3.75,Operations,1,7.1,0.0535,0.8575,60.0,89.0,4,1
3.12,Sales,3,14.6,0.0059,0.8019,23.7,95.1,5,0
0.1,HR,2,10.9,0.1363,0.6659,16.6,23.5,4,1
7.03,Engineering,3,13.8,0.0286,0.4655,9.6,91.9,5,0
3.23,Engineering,1,34.2,0.0172,0.7765,20.7,77.6,2,1
1.0,HR,2,5.7,0.0536,0.563,49.7,15.6,5,1
1.48,Finance,4,11.7,0.0433,0.7327,18.4,82.6,5,0
1.57,Engineering,1,22.2,0.0168,0.5089,60.0,17.8,1,1
0.23,Operations,1,22.4,0.0294,0.451,22.8,1.0,4,1
0.73,Engineering,3,12.6,0.0705,0.6611,45.7,77.8,1,1
0.07,Operations,2,6.9,0.0547,0.8697,8.3,34.6,4,0
3.13,Sales,5,13.7,0.0074,0.5092,16.2,92.2,5,0
1.88,HR,4,13.9,0.01,0.5124,4.5,44.3,2,1
11.19,Engineering,3,15.6,0.0947,0.4005,20.4,61.0,3,1
0.95,Marketing,1,3.3,0.0261,0.8098,9.3,74.6,1,0
3.0,Marketing,2,27.0,0.0203,0.8352,6.5,84.4,4,0
0.24,Engineering,4,22.2,0.0572,0.4283,23.9,17.7,2,1
1.26,Engineering,2,8.1,0.0333,0.178,15.3,20.4,5,1
3.31,Finance,5,20.8,0.0313,0.3339,59.3,88.8,3,1
10.61,Operations,3,7.7,0.0294,0.8216,26.3,29.2,2,1
11.44,Engineering,1,24.2,0.0364,0.8915,5.7,63.7,5,0
0.17,Sales,2,9.2,0.0207,0.8102,9.3,7.1,4,0
3.4,Finance,3,4.0,0.0382,0.5057,18.0,66.8,3,0
0.88,Engineering,1,31.2,0.0965,0.42,32.6,18.6,4,1
7.32,Sales,1,15.1,0.1092,0.7263,14.7,79.8,5,1
4.69,Engineering,3,7.3,0.0665,0.4146,27.9,74.2,5,0
0.82,HR,1,25.5,0.0403,0.6907,31.5,58.8,3,0
1.72,Marketing,1,13.8,0.0561,0.8523,7.0,15.1,3,0
0.03,HR,3,6.6,0.0664,0.5827,1.5,26.5,4,0
1.82,Sales,3,25.8,0.07,0.9065,54.8,4.2,4,1
2.76,HR,2,15.5,0.0227,0.7192,9.9,31.5,3,1
2.26,Finance,5,11.1,0.0577,0.7158,10.2,38.1,2,1
4.55,Engineering,4,8.8,0.0242,0.5441,19.3,46.5,3,0
0.52,Engineering,2,3.9,0.0287,0.5072,5.6,99.7,5,0
6.16,Sales,1,0.6,0.0811,0.7167,6.6,72.5,3,0
1.66,Operations,3,14.5,0.0767,0.119,27.1,39.3,3,1
1.72,Marketing,1,3.1,0.0467,0.6816,17.5,84.6,3,0
1.23,Engineering,3,3.9,0.0476,0.8694,5.2,36.6,4,0
5.28,Sales,2,7.6,0.041,0.4185,23.0,36.2,5,1
1.8,HR,2,7.8,0.0321,0.66,0.4,6.4,2,1
1.3,Sales,2,4.3,0.0319,0.3607,4.0,73.5,4,0
3.52,Operations,2,14.5,0.0543,0.6205,4.0,20.2,4,1
3.55,Operations,4,1.7,0.0134,0.5554,36.1,23.5,5,0
1.39,Sales,1,14.3,0.0282,0.256,36.3,34.6,1,1
6.73,Engineering,4,6.9,0.0225,0.533,36.5,82.2,5,0
1.68,Sales,1,4.1,0.0284,0.6825,4.9,86.1,5,0
4.54,Finance,3,1.9,0.0976,0.1072,4.9,55.1,5,0
1.22,Marketing,4,9.9,0.0349,0.9017,4.3,92.6,4,0
5.33,HR,2,2.9,0.0218,0.6898,4.0,42.7,3,0
5.18,Sales,1,2.5,0.0364,0.2742,15.8,60.5,3,0
4.42,Sales,3,22.0,0.0144,0.79,4.0,92.9,2,0
5.59,Engineering,3,2.3,0.0082,0.459,10.6,52.1,1,0
3.0,Engineering,1,1.7,0.0446,0.5356,10.7,46.1,5,0
0.71,HR,2,13.5,0.0716,0.5052,56.6,2.9,5,1
2.49,Finance,3,10.5,0.0741,0.7457,14.0,88.1,1,1
0.83,Engineering,1,5.4,0.0841,0.7501,60.0,18.9,3,1
3.36,Sales,2,3.6,0.0476,0.2927,10.8,45.7,3,0
0.41,Operations,2,4.6,0.0104,0.6331,2.4,79.4,3,0
2.95,Operations,1,5.5,0.0191,0.6752,40.5,51.3,5,0
0.55,Finance,3,12.4,0.0309,0.6815,2.3,78.1,5,0
3.11,Finance,1,10.1,0.0231,0.5734,17.1,83.7,3,0
14.34,Finance,4,6.3,0.0221,0.6496,39.0,85.5,5,0
4.02,HR,2,6.3,0.0624,0.531,7.8,8.0,2,1
1.28,Sales,2,13.9,0.0738,0.8951,2.8,20.7,4,0
0.95,HR,2,4.1,0.1169,0.3858,1.6,90.9,1,1
1.89,Marketing,2,1.8,0.0264,0.5411,27.9,26.3,3,1
2.5,Finance,3,20.4,0.0587,0.511,0.0,70.7,4,0
3.25,Marketing,3,6.3,0.0173,0.2658,20.9,52.9,1,1
1.02,Finance,3,29.1,0.0421,0.6004,29.5,93.7,2,1
3.51,Engineering,2,5.6,0.0269,0.3515,1.7,25.5,3,0
0.64,Finance,1,8.4,0.0552,0.2106,0.8,80.6,3,0
9.1,Operations,1,3.8,0.0563,0.3579,2.3,41.0,2,1
4.59,Finance,3,10.2,0.0765,0.4271,11.8,24.0,3,1
2.27,Finance,2,6.4,0.0082,0.4441,22.4,49.1,2,0
4.01,Sales,2,7.0,0.0658,0.4993,56.6,54.1,2,1
0.59,Marketing,2,9.1,0.0464,0.6915,12.6,11.0,3,1
6.84,HR,2,5.7,0.0768,0.7731,3.3,19.2,2,0
8.1,Sales,3,10.0,0.0542,0.2989,7.0,90.9,4,0
0.76,HR,2,4.6,0.0164,0.817,14.7,66.6,2,0
0.13,Engineering,5,9.6,0.0323,0.5675,18.1,70.4,2,0
1.53,Operations,1,1.5,0.0424,0.2405,8.6,35.4,3,0
3.87,Marketing,2,2.3,0.1114,0.5632,12.2,54.0,2,1
12.54,Sales,1,3.8,0.014,0.7033,28.8,3.9,1,1
1.43,Marketing,3,2.8,0.0281,0.8468,13.4,14.3,4,0
1.4,Engineering,2,3.0,0.0217,0.8638,20.5,97.6,2,0
0.45,HR,2,11.8,0.0833,0.6689,11.2,21.0,4,1
7.07,Finance,3,6.5,0.0341,0.8236,12.6,49.1,3,1
10.91,Engineering,2,5.7,0.0653,0.594,1.3,93.0,3,0
0.25,Marketing,1,10.0,0.036,0.9255,13.6,65.3,2,0
0.33,Marketing,2,10.6,0.0086,0.3586,38.3,16.6,2,1
1.06,Finance,1,5.2,0.0417,0.7501,11.3,44.9,4,0
7.8,Sales,4,17.0,0.0513,0.8277,7.9,46.3,4,0
16.83,Marketing,3,6.8,0.0263,0.709,22.4,47.6,3,0
1.52,HR,3,12.6,0.0701,0.4995,0.4,84.1,2,0
4.89,Marketing,4,4.6,0.0381,0.4678,11.7,55.6,3,0
3.13,Finance,3,9.7,0.0351,0.8599,48.5,76.6,1,1
0.85,Engineering,2,13.5,0.0137,0.2449,6.1,36.5,4,0
2.78,Engineering,1,12.4,0.0174,0.4609,10.1,69.6,5,0
10.19,Engineering,2,11.6,0.0258,0.9155,36.8,42.8,4,0
5.01,Engineering,4,4.4,0.0447,0.7282,9.1,76.7,1,0
5.26,Sales,4,2.6,0.0063,0.6347,33.1,73.5,3,0
4.79,Engineering,3,2.3,0.0304,0.4414,8.0,34.0,3,0
0.53,Operations,1,5.5,0.0135,0.4495,4.6,35.6,5,0
2.49,Operations,1,5.2,0.0123,0.7376,33.8,82.3,2,0
4.07,Sales,4,10.7,0.0273,0.8214,58.9,59.8,1,1
2.63,Sales,1,8.1,0.055,0.5885,20.4,61.6,4,0
